"Año","Fecha","Destino","Descripción","Documento"
2016,"16-02-2016","MADRID","REUNIÓN DE LOS REPRESENTANTES RESPONSABLES DEL ÁREA DE TRANSPARENCIA AUTONÓMICOS CELEBRADO EN LA SEDE DEL CONSEJO DE TRANSPARENCIA Y BUEN GOBIERNO","https://www.ctpdandalucia.es/sites/default/files/inline-files/01-viaje-a-madrid-16-de-febrero-de-2016.pdf"
2016,"01-03-2016","MÁLAGA","REUNIÓN EN LA DIPUTACIÓN DE MÁLAGA CON LA DIRECTORA DELEGADA DE PRESIDENCIA (Dª CONCEPCIÓN LABAO MORENO)","https://www.ctpdandalucia.es/sites/default/files/inline-files/02-viaje-a-malaga-01-de-marzo-de-2016.pdf"
2016,"08-03-2016","JAÉN","REUNIÓN CON EL PRESIDENTE DE LA DIPUTACIÓN. TEMA: TRANSPARENCIA EN LOS MUNICIPIOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/03-viaje-a-jaen-08-de-marzo-de-2016.pdf"
2016,"11-03-2016","CÓRDOBA","REUNIÓN CON EL PRESIDENTE DE LA DIPUTACIÓN. TEMA: TRANSPARENCIA EN LOS MUNICIPIOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/04-viaje-a-cordoba-11-de-marzo-de-2016.pdf"
2016,"16-03-2016","MADRID","DÍA 16 DE MARZO DE 2.016 PARTICIPACIÓN EN CORPORATE TRANSPARENCY SUMMI (AUDITORIO RAFAEL DEL PINO, DÍA 17 DE MARZO DE 2.016 PRESENTACIÓN INFORME SOBRE TRANSPARENCIA Y BUEN GOBIERNO (HOTEL EUROBULDING DE MADRID), REUNIÓN CON LA DIRECTORA DE LA AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS Dª MAR ESPAÑA, EN LA SEDE DE LA AGENCIA","https://www.ctpdandalucia.es/sites/default/files/inline-files/05-viaje-a-madrid-del-16-al-17-de-marzo-de-2016.pdf"
2016,"04-05-2016","CÓRDOBA (POZOBLANCO)","RUEDA DE PRENSA DEL AYUNTAMIENTO DE POZOBLANCO PARA LA PRESENTACIÓN DEL PORTAL DE TRANSPARENCIA","https://www.ctpdandalucia.es/sites/default/files/inline-files/06-viaje-a-pozoblanco-04-de-mayo-de-2016.pdf"
2016,"09-05-2016","GRANADA","REUNIÓN CON EL PRESIDENTE DE LA DIPUTACIÓN. TEMA: TRANSPARENCIA EN LOS MUNICIPIOS"," "
2016,"18-05-2016","MÁLAGA","REUNIÓN PRESIDENTE DE LA DIPUTACIÓN DE MÁLAGA. TEMA: TRANSPARENCIA EN LOS MUNICIPIOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/08-viaje-a-malaga-18-de-mayo-de-2016.pdf"
2016,"23-05-2016","HUELVA","REUNIÓN CON EL COORDINADOR DE SERVICIOS DE LA DIPUTACIÓN DE HUELVA .TEMA: TRANSPARENCIA EN LOS MUNICIPIOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/09-viaje-a-huelva-23-de-mayo-de-2016.pdf"
2016,"09-06-2016","GRANADA (MONTEFRÍO)","PONENCIA EN EL ACTO PROBLEMAS ACTUALES DE LAS CORPORACIONES LOCALES","https://www.ctpdandalucia.es/sites/default/files/inline-files/10-viaje-a-montefrio-9-y-10-dejunio-de-2016.pdf"
2016,"28-06-2016","MÉXICO (TABASCO)","PARTICIPACIÓN EN EL FORO MUNDIAL DE ADMINISTRACIÓN PÚBLICA: GOBIERNOS ABIERTOS EN VILLAHERMOSA TABASCO. MÉXICO","https://www.ctpdandalucia.es/sites/default/files/inline-files/11-viaje-a-villahermosa-tabasco-mexico-28-junio-2016.pdf"
